Latitude,Longitude,Hazard_Prob,GLOF
42.97,77.03,0.9194213228055073,1
42.207,79.846,0.998251111293261,1
28.092,90.3,0.7732416446569477,1
28.802,91.937,0.4658291033763332,1
28.662,85.37,0.6918571033298031,1
43.0,77.1,0.9786237101286323,1
42.207,79.846,0.9978947916111552,1
28.663,85.478,0.5111609560389804,1
36.5,75.22,0.999983858564106,1
43.08,77.15,0.8358246671357855,1
27.705,92.387,0.6228620566694543,1
42.207,79.846,0.9972325528968611,1
27.901,88.782,0.45205535354069526,1
43.08,77.15,0.8092382493269642,1
43.04,77.04,0.9999706747643332,1
43.016,77.024,0.9999890530871348,1
42.207,79.846,0.9990743173773702,1
35.677,77.193,0.9997351642232105,1
43.006,76.566,0.9999900396741348,1
27.903,90.418,0.21713200874132965,1
27.899,90.807,0.33591888852798085,1
42.923,76.602,0.9351557919537713,1
39.75,71.568,0.9202202501344304,1
42.207,79.846,0.9998386333627858,1
27.743,86.845,0.8868646904584947,1
27.955,86.776,0.5744201816920014,1
35.677,77.193,0.9995538012949614,1
42.528,74.54,0.6672876222651501,1
36.342,75.479,0.705918093821249,1
42.522,74.609,0.6239055206697223,1
42.207,79.846,0.9992427380521899,1
35.677,77.193,0.9996125095979091,1
42.522,74.609,0.9864164708978225,1
35.253,77.311,0.999854793748943,1
36.84,73.92,0.9999675236399482,1
36.342,75.479,0.9999791026512693,1
42.207,79.846,0.9999541021605616,1
35.496,76.27,0.9863092963360262,1
36.342,75.479,0.9999458422908345,1
42.207,79.846,0.9999724414175096,1
28.211,89.745,0.5377894666706513,1
28.139,85.92,0.623801096400285,1
36.35,74.57,0.9999923329276273,1
35.253,77.311,0.9992896973187992,1
36.342,75.479,0.9966500203717302,1
42.207,79.846,0.998831092838358,1
37.22,71.734,0.9525452179221094,1
35.677,77.193,0.9989419497729435,1
36.342,75.479,0.999846104863568,1
36.613,73.896,0.9995767237128013,1
30.684,94.324,0.9082999250281789,1
29.632,93.546,0.2690310377962732,1
34.477,76.971,0.433657933629714,1
42.522,74.609,0.9004938963820365,1
36.342,75.479,0.999940677372413,1
42.207,79.846,0.999381087885559,1
36.84,73.92,0.9994515936070124,1
30.267,81.474,0.8869006672658035,1
42.207,79.846,0.9999090225296561,1
35.677,77.193,0.9685200214776777,1
36.384,72.706,0.1554048775186982,1
42.537,74.427,0.7780148544251599,1
42.207,79.846,0.9998561109948961,1
43.128,77.509,0.5862173951323969,1
36.027,73.196,0.25482453126821736,1
35.677,77.193,0.9922853714573145,1
29.752,96.465,0.3659483583030584,1
30.267,81.474,0.9058140777797106,1
41.859,76.995,0.9540222616982122,1
42.207,79.846,0.9997119559696495,1
35.677,77.193,0.9785995467727391,1
36.428,74.806,0.8933756674955555,1
30.267,81.474,0.9080499092840728,1
42.207,79.846,0.9999694049523565,1
28.278,90.225,0.39068006182220166,1
36.457,74.879,0.980011368477702,1
36.428,74.806,0.8561927357571605,1
36.428,74.806,0.8565085741430205,1
36.428,74.806,0.8374177507524463,1
35.677,77.193,0.9954495703546348,1
30.267,81.474,0.867366911574419,1
36.428,74.806,0.8747313596887979,1
42.207,79.846,0.9998752651082866,1
41.941,77.017,0.9353805019885786,1
28.323,97.835,0.12771871975273894,1
42.207,79.846,0.9999742921718479,1
37.094,71.637,0.24241526035648456,1
36.043,74.571,0.923249607562869,1
36.428,74.806,0.6600830630178389,1
28.101,90.164,0.9879968159627633,1
30.267,81.474,0.9132672849346694,1
36.784,74.004,0.9999007990065226,1
35.677,77.193,0.999922495526608,1
30.83,94.0,0.43659023199557373,1
28.087,90.326,0.528256170887699,1
35.93,74.609,0.32194941243014696,1
36.039,74.633,0.7968989772150289,1
36.546,73.353,0.9939364561790052,1
42.522,74.609,0.7563955977283446,1
36.342,75.479,0.9999392860112268,1
42.207,79.846,0.9999007401602329,1
36.043,74.571,0.9395595113296086,1
27.951,87.985,0.3747235827613552,1
36.174,71.898,0.4438053589946482,1
33.019,78.488,0.2983079594462196,1
42.207,79.846,0.9997553442631953,1
35.411,77.604,0.9944194175823919,1
30.267,81.474,0.920853050204884,1
42.207,79.846,0.9999523271282187,1
36.027,73.196,0.6628197638219384,1
42.537,74.427,0.9944810055945965,1
35.411,77.604,0.994306399988017,1
30.747,79.062,0.9069526134106052,1
30.473,93.534,0.576656235645856,1
36.784,74.004,0.999970452822944,1
41.987,76.814,0.9622967149052786,1
36.475,71.129,0.8131250099359966,1
30.531,94.944,0.9279179736009774,1
35.997,74.666,0.7282910409766289,1
35.411,77.604,0.9979932625107825,1
43.144,77.277,0.9982470753889928,1
41.973,76.828,0.948589878406087,1
33.617,77.613,0.40541439100909926,1
42.207,79.846,0.9999697178302311,1
27.874,86.586,0.4856696878761472,1
27.906,86.891,0.9287934489861367,1
28.07,89.58,0.8433179360832496,1
35.997,74.666,0.6395645188035773,1
36.22,71.775,0.5831714107657312,1
36.174,71.898,0.6386866925180102,1
30.737,94.253,0.901237629097142,1
35.677,77.193,0.9995553775997416,1
43.007,76.847,0.9827834882775816,1
42.528,74.54,0.9534316685927765,1
30.31,82.2,0.23439972307785067,1
27.943,87.896,0.3036256129055404,1
42.207,79.846,0.9998506539565806,1
36.784,74.004,0.9999683607174148,1
27.906,86.891,0.934545979093201,1
35.677,77.193,0.9995295553358987,1
28.078,86.064,0.6876540266074841,1
35.677,77.193,0.9995295553358987,1
27.813,87.139,0.6710529317452679,1
42.207,79.846,0.9998471021604965,1
27.989,86.811,0.9190251679761251,1
36.342,75.479,0.9997095346996736,1
34.588,76.733,0.199987467524668,1
42.4,74.7,0.966409075818524,1
35.677,77.193,0.9998078507037911,1
36.342,75.479,0.9994698838371437,1
36.342,75.479,0.9994698838371437,1
36.342,75.479,0.9995517147910327,1
28.245,86.321,0.31090891700576057,1
35.47,69.628,0.8994019661012386,1
36.5,74.06,0.23782318952458414,1
42.207,79.846,0.9999542642743646,1
35.677,77.193,0.9994839424199907,1
36.342,75.479,0.9994706116308649,1
28.106,90.263,0.6901825810372293,1
36.361,74.563,0.9999727249702743,1
42.207,79.846,0.9999684154871672,1
35.86,71.97,0.8173629537591884,1
35.677,77.193,0.9989424647948099,1
41.978,77.267,0.9447537833578373,1
43.007,76.847,0.9999459738378067,1
36.361,74.563,0.9999913521823184,1
36.361,74.563,0.9999913521823184,1
30.356,93.631,0.7741183248670072,1
35.86,71.97,0.9857319104330529,1
30.436,94.544,0.9717746248750894,1
42.207,79.846,0.999931455769734,1
36.853,73.023,0.15982543862186455,1
36.342,75.479,0.9999339980794865,1
36.361,74.563,0.9999899528129186,1
36.33,73.68,0.612036692730429,1
28.131,85.515,0.5899687459017504,1
42.207,79.846,0.9983087002775359,1
35.46,69.639,0.9183958241598986,1
48.624,90.977,0.8997942016996415,1
34.0,77.422,0.4645642016172939,1
36.361,74.563,0.9999901580946284,1
42.207,79.846,0.9974403746794757,1
42.207,79.846,0.9998379298544895,1
27.913,88.195,0.3148625357675929,1
28.717,98.004,0.680337869329191,1
36.412,72.901,0.6212929907233895,0
36.263,73.048,0.0845697293596548,0
36.642,73.407,0.9890090324661829,0
36.131,73.384,0.1088864926834277,0
36.116,73.423,0.1108738372092194,0
36.112,73.449,0.1258789919097071,0
36.108,73.465,0.10960806091558083,0
36.086,73.461,0.09672676739216417,0
36.024,73.328,0.0867017021772385,0
36.0,73.312,0.09976440735984478,0
36.879,73.704,0.06509686040766614,0
36.644,73.646,0.15501275587580562,0
36.431,73.566,0.20296175401150465,0
36.351,73.514,0.17984004424768754,0
36.154,73.616,0.07366970671206052,0
36.145,73.639,0.08046052645085242,0
36.129,73.505,0.05849938716732915,0
36.096,73.668,0.13528778840557762,0
36.08,73.646,0.15025275942425956,0
36.039,73.592,0.13014535951236353,0
36.03,73.714,0.12123622593431192,0
36.011,73.558,0.21971965987632297,0
36.265,73.955,0.14582586691618515,0
36.239,74.084,0.3555349625739398,0
36.137,75.136,0.9755525200622551,0
36.126,75.14,0.9234288464739001,0
36.44,75.686,0.023170847469108136,0
35.994,72.613,0.044715231475256766,0
35.944,72.595,0.10780275554131137,0
35.869,72.94,0.10565779027107525,0
35.855,72.98,0.6544596345972189,0
35.92,73.064,0.06921052782763362,0
35.906,73.155,0.11277300592840481,0
35.871,73.073,0.07931805885801675,0
35.829,73.228,0.24171552182723047,0
35.825,73.211,0.22057447847346312,0
35.73,73.216,0.3775725881565254,0
35.987,73.313,0.1043565132888037,0
35.962,73.397,0.10382189201059365,0
35.949,73.289,0.09469460908153286,0
35.945,73.365,0.18186857372506898,0
35.936,73.269,0.0781700306578173,0
35.925,73.274,0.09653545583576452,0
35.925,73.342,0.1671747913289532,0
35.918,73.371,0.14333200575664673,0
35.817,73.297,0.16366646434065002,0
35.739,73.256,0.35933675894917405,0
35.675,73.344,0.4705546346400527,0
35.652,73.357,0.32783487511265724,0
35.643,73.352,0.310532297104903,0
35.904,73.568,0.17351125222556807,0
35.889,73.692,0.1451753418288772,0
35.88,73.577,0.1842753656509366,0
35.877,73.615,0.012886859637441997,0
35.865,73.746,0.3280470484328574,0
35.783,73.507,0.2747226817072959,0
35.782,73.572,0.057197916754310366,0
35.972,73.911,0.14180458958342015,0
35.939,73.985,0.04197714455583112,0
35.917,73.945,0.1469517842719409,0
35.916,73.992,0.038881130289410704,0
35.906,73.922,0.14144978804982436,0
35.882,73.763,0.3362329700386233,0
35.868,73.929,0.006415990337359461,0
35.858,73.869,0.12448053130052954,0
35.856,73.775,0.4855662745857054,0
35.852,73.877,0.1993233102999946,0
35.247,73.799,0.3253252415438638,0
35.184,73.958,0.2525179069930772,0
34.83,73.985,0.25300947457146417,0
35.962,74.019,0.09114182021998293,0
35.817,74.083,0.15183047335848968,0
35.779,74.205,0.24620104196211157,0
35.773,74.196,0.22807576819054926,0
35.707,74.243,0.009651309463379115,0
35.686,74.23,0.009385555594712993,0
35.073,74.177,0.31040266047470894,0
35.821,74.294,0.1519533902669687,0
35.722,74.256,0.09610108276580301,0
